,year,team,Conference,Division,AverageHomeAttendance,CoachFirst,CoachLast,RSGamesCoached,POGamesCoached,PointsScoredPG,PointsAllowedPG,YardsGainedPG,YardsAllowedPG,TurnoversTotal,TurnoversCausedTotal,SeasonWins,SeasonLosses,SeasonTies,DivisionWins,DivisionLosses,DivisionTies,DivisionRank,ConferenceWins,ConferenceLosses,ConferenceTies,Playoffs,PlayoffWins,WonConference,WonSB
114,2004,NO,NFC,South,64147.25,Jim,Haslett,16,0,21.75,25.3125,324.5625,383.8125,26,33,8,8,0,3,3,0,2,6,6,0,0,0,0,0
115,2004,NYG,NFC,East,78734.25,Tom,Coughlin,16,0,18.9375,21.6875,295.125,324.1875,24,28,6,10,0,3,3,0,2,5,7,0,0,0,0,0
116,2004,NYJ,AFC,East,77897.625,Herman,Edwards,16,2,20.8125,16.3125,339.875,304.875,16,33,10,6,0,3,3,0,2,7,5,0,1,1,0,0
117,2004,OAK,AFC,West,50742,Norv,Turner,16,0,20,27.625,322.0625,371,35,18,5,11,0,1,5,0,4,3,9,0,0,0,0,0
118,2004,PHI,NFC,East,67608.75,Andy,Reid,16,3,24.125,16.25,351.125,319.6875,22,28,13,3,0,6,0,0,1,11,1,0,1,2,1,0
119,2004,PIT,AFC,North,63423.125,Bill,Cowher,16,2,23.25,15.6875,324,258.375,21,32,15,1,0,5,1,0,1,11,1,0,1,1,0,0
120,2004,SD,AFC,West,60682.75,Marty,Schottenheimer,16,1,27.875,19.5625,346.375,335,18,33,12,4,0,5,1,0,1,9,3,0,1,0,0,0
121,2004,SEA,NFC,West,66679.5,Mike,Holmgren,16,1,23.1875,23.3125,352.125,351.3125,27,35,9,7,0,3,3,0,1,8,4,0,1,0,0,0
122,2004,SF,NFC,West,64783.875,Dennis,Erickson,16,0,16.1875,28.25,286.5625,342.5625,40,21,2,14,0,2,4,0,4,2,10,0,0,0,0,0
123,2004,STL,NFC,West,65923,Mike,Martz,16,2,19.9375,24.5,367.3125,334.5625,39,15,8,8,0,5,1,0,2,7,5,0,1,1,0,0
124,2004,TB,NFC,South,65340,Jon,Gruden,16,0,18.8125,19,310.1875,284.5,36,27,5,11,0,2,4,0,4,4,8,0,0,0,0,0
125,2004,TEN,AFC,South,68901.25,Jeff,Fisher,16,0,21.5,27.4375,342.9375,357.75,31,30,5,11,0,1,5,0,4,3,9,0,0,0,0,0
